commit,scenario,seed,collector,episode_index,global_step,episode_length,episode_reward,terminal,truncated,terminal_raw_reward,terminal_shared_reward,score_left,score_right,event_code,terminal_checkpoint_reward,terminal_distance_to_goal,min_step_reward,max_step_reward,sum_step_rewards,reward_count,reward_sum_validation
,academy_3_vs_1_with_keeper,123,collect_rollout,0,0,18,-0.05333333113230765,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05333333113230765,1,-0.05333333113230765
,academy_3_vs_1_with_keeper,123,collect_rollout,1,0,28,0.25079365901183337,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.25079365901183337,1,0.25079365901183337
,academy_3_vs_1_with_keeper,123,collect_rollout,2,0,57,0.129054035351146,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.129054035351146,1,0.129054035351146
,academy_3_vs_1_with_keeper,123,collect_rollout,3,0,18,-0.04666666476987302,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04666666476987302,1,-0.04666666476987302
,academy_3_vs_1_with_keeper,123,collect_rollout,4,0,16,-0.026666665449738503,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.026666665449738503,1,-0.026666665449738503
,academy_3_vs_1_with_keeper,123,collect_rollout,5,0,10,-0.07702950526436325,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.07702950526436325,1,-0.07702950526436325
,academy_3_vs_1_with_keeper,123,collect_rollout,6,0,22,-0.059999997494742274,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.059999997494742274,1,-0.059999997494742274
,academy_3_vs_1_with_keeper,123,collect_rollout,7,0,20,-0.04999999818392098,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.04999999818392098,1,-0.04999999818392098
,academy_3_vs_1_with_keeper,123,collect_rollout,8,0,35,-0.05999999726191163,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.05999999726191163,1,-0.05999999726191163
,academy_3_vs_1_with_keeper,123,collect_rollout,9,0,18,-0.03333333181217313,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.03333333181217313,1,-0.03333333181217313
